tweet_id	date	time	lang	country_code
1512641591470551044	2022-04-09	04:00:33	in	NULL
1512641596113633284	2022-04-09	04:00:34	ta	NULL
1512641596285755396	2022-04-09	04:00:34	in	NULL
1512641604753899525	2022-04-09	04:00:36	es	NULL
1512641606922481665	2022-04-09	04:00:37	en	NULL
1512641614094733320	2022-04-09	04:00:38	en	NULL
1512641618331172866	2022-04-09	04:00:39	en	NULL
1512641621438959621	2022-04-09	04:00:40	es	NULL
1512641623452233729	2022-04-09	04:00:41	en	NULL
1512641630993620995	2022-04-09	04:00:43	de	NULL
1512641635359805445	2022-04-09	04:00:44	en	NULL
1512641646583681025	2022-04-09	04:00:46	en	NULL
1512641649129627652	2022-04-09	04:00:47	tl	NULL
1512641649230417925	2022-04-09	04:00:47	pt	NULL
1512641656260112398	2022-04-09	04:00:49	es	NULL
1512641673599361024	2022-04-09	04:00:53	fr	NULL
1512641678791913478	2022-04-09	04:00:54	in	NULL
1512641686995968003	2022-04-09	04:00:56	en	NULL
1512641688442912774	2022-04-09	04:00:56	es	NULL
1512641701319524355	2022-04-09	04:00:59	es	NULL
1512641703353765890	2022-04-09	04:01:00	in	NULL
1512641709305483271	2022-04-09	04:01:01	und	NULL
1512641713419915264	2022-04-09	04:01:02	ja	NULL
1512641714619568132	2022-04-09	04:01:02	en	NULL
1512641716960083970	2022-04-09	04:01:03	cs	NULL
1512641717748576256	2022-04-09	04:01:03	en	NULL
1512641727772905474	2022-04-09	04:01:06	it	NULL
1512641733217116161	2022-04-09	04:01:07	en	NULL
1512641742813679622	2022-04-09	04:01:09	es	NULL
1512641746143961093	2022-04-09	04:01:10	fr	NULL
1512641751516860423	2022-04-09	04:01:11	es	NULL
1512641751873433600	2022-04-09	04:01:11	en	NULL
1512641768571162624	2022-04-09	04:01:15	in	NULL
1512641769770405889	2022-04-09	04:01:16	tl	NULL
1512641778012274688	2022-04-09	04:01:18	pt	NULL
1512641783016030209	2022-04-09	04:01:19	en	NULL
1512641789705941002	2022-04-09	04:01:20	zh	NULL
1512641789869838345	2022-04-09	04:01:20	en	NULL
1512641795242565632	2022-04-09	04:01:22	es	NULL
1512641796194643969	2022-04-09	04:01:22	en	NULL
1512641807649165313	2022-04-09	04:01:25	en	NULL
1512641819041218562	2022-04-09	04:01:27	bn	NULL
1512641819795935234	2022-04-09	04:01:28	es	NULL
1512641821893033986	2022-04-09	04:01:28	en	NULL
1512641831548379140	2022-04-09	04:01:30	en	NULL
1512641832291020802	2022-04-09	04:01:31	lt	NULL
1512641832743800833	2022-04-09	04:01:31	ko	NULL
1512641839660257285	2022-04-09	04:01:32	und	NULL
1512641855501963273	2022-04-09	04:01:36	en	NULL
1512641858966810625	2022-04-09	04:01:37	en	NULL
1512641859142754307	2022-04-09	04:01:37	en	NULL
1512641862435328004	2022-04-09	04:01:38	und	NULL
1512641865497075715	2022-04-09	04:01:38	en	NULL
1512641868319932416	2022-04-09	04:01:39	en	NULL
1512641883809398789	2022-04-09	04:01:43	en	NULL
1512641888536342528	2022-04-09	04:01:44	en	NULL
1512641890264489989	2022-04-09	04:01:44	en	NULL
1512641892328288263	2022-04-09	04:01:45	in	NULL
1512641893712433155	2022-04-09	04:01:45	in	NULL
1512641905196212225	2022-04-09	04:01:48	en	NULL
1512641910212599809	2022-04-09	04:01:49	en	NULL
1512641928671735811	2022-04-09	04:01:53	pt	NULL
1512641941238071298	2022-04-09	04:01:56	hi	NULL
1512641955863625729	2022-04-09	04:02:00	en	NULL
1512641957272731648	2022-04-09	04:02:00	es	NULL
1512641963907985415	2022-04-09	04:02:02	in	NULL
1512641965078179842	2022-04-09	04:02:02	en	NULL
1512641973085212672	2022-04-09	04:02:04	es	NULL
1512641978479308802	2022-04-09	04:02:05	en	NULL
1512641978919682057	2022-04-09	04:02:05	en	NULL
1512641979888275456	2022-04-09	04:02:06	en	NULL
1512641988847304711	2022-04-09	04:02:08	und	NULL
1512641990034403329	2022-04-09	04:02:08	es	NULL
1512642017263861762	2022-04-09	04:02:15	de	NULL
1512642020661428230	2022-04-09	04:02:15	et	NULL
1512642027028054019	2022-04-09	04:02:17	en	NULL
1512642027242102784	2022-04-09	04:02:17	it	NULL
1512642029930655747	2022-04-09	04:02:18	en	NULL
1512642041712365568	2022-04-09	04:02:20	en	IN
1512642057990557704	2022-04-09	04:02:24	und	NULL
1512642058497916931	2022-04-09	04:02:24	und	NULL
1512642059651645443	2022-04-09	04:02:25	en	NULL
1512642060368625666	2022-04-09	04:02:25	en	NULL
1512642064856813568	2022-04-09	04:02:26	en	NULL
1512642070321659904	2022-04-09	04:02:27	en	NULL
1512642075149361160	2022-04-09	04:02:28	en	US
1512642077187878916	2022-04-09	04:02:29	es	NULL
1512642079465242628	2022-04-09	04:02:29	en	NULL
1512642084591009795	2022-04-09	04:02:31	en	NULL
1512642090156675075	2022-04-09	04:02:32	pl	NULL
1512642108447940611	2022-04-09	04:02:36	de	NULL
1512642116685799426	2022-04-09	04:02:38	in	NULL
1512642119592259587	2022-04-09	04:02:39	en	NULL
1512642123711098886	2022-04-09	04:02:40	en	NULL
1512642126357549060	2022-04-09	04:02:41	und	NULL
1512642128912203776	2022-04-09	04:02:41	hi	NULL
1512642130451197962	2022-04-09	04:02:42	in	NULL
1512642130925260800	2022-04-09	04:02:42	pt	NULL
1512642136444788736	2022-04-09	04:02:43	und	NULL
1512642140798525440	2022-04-09	04:02:44	en	NULL
1512642141410930691	2022-04-09	04:02:44	in	NULL
1512642149996707840	2022-04-09	04:02:46	en	NULL
1512642157374754818	2022-04-09	04:02:48	in	NULL
1512642157517021185	2022-04-09	04:02:48	en	NULL
1512642157835800582	2022-04-09	04:02:48	en	NULL
1512642158242643974	2022-04-09	04:02:48	und	NULL
1512642162306998281	2022-04-09	04:02:49	fr	NULL
1512642170523914243	2022-04-09	04:02:51	en	NULL
1512642172654215168	2022-04-09	04:02:52	in	NULL
1512642184943906819	2022-04-09	04:02:55	en	NULL
1512642187888312320	2022-04-09	04:02:55	und	NULL
1512642189939064834	2022-04-09	04:02:56	fr	NULL
1512642190152974338	2022-04-09	04:02:56	en	NULL
1512642190949830657	2022-04-09	04:02:56	es	NULL
1512642192510099461	2022-04-09	04:02:56	en	NULL
1512642192686592000	2022-04-09	04:02:56	in	NULL
1512642196092170240	2022-04-09	04:02:57	en	NULL
1512642197182906368	2022-04-09	04:02:57	gu	NULL
1512642206917558274	2022-04-09	04:03:00	es	NULL
1512642222201655303	2022-04-09	04:03:03	en	NULL
1512642230913171461	2022-04-09	04:03:06	en	NULL
1512642234495033348	2022-04-09	04:03:06	und	NULL
1512642247065542656	2022-04-09	04:03:09	es	NULL
1512642247485014022	2022-04-09	04:03:09	es	NULL
1512642258864123904	2022-04-09	04:03:12	de	NULL
1512642262676787204	2022-04-09	04:03:13	sv	NULL
1512642263003897857	2022-04-09	04:03:13	en	NULL
1512642290849918977	2022-04-09	04:03:20	en	NULL
1512642308130414595	2022-04-09	04:03:24	en	NULL
1512642315424305159	2022-04-09	04:03:26	en	NULL
1512642317332721667	2022-04-09	04:03:26	und	NULL
1512642321871179777	2022-04-09	04:03:27	en	NULL
1512642322164449281	2022-04-09	04:03:27	in	NULL
1512642325876703233	2022-04-09	04:03:28	en	NULL
1512642326371393541	2022-04-09	04:03:28	pt	NULL
1512642330876321793	2022-04-09	04:03:29	en	NULL
1512642334936211456	2022-04-09	04:03:30	de	NULL
1512642336219889667	2022-04-09	04:03:31	en	NULL
1512642341429030948	2022-04-09	04:03:32	en	NULL
1512642346285867012	2022-04-09	04:03:33	en	NULL
1512642361326809089	2022-04-09	04:03:37	en	NULL
1512642369442955273	2022-04-09	04:03:39	ja	NULL
1512642372814835718	2022-04-09	04:03:39	en	NULL
1512642382092767234	2022-04-09	04:03:42	es	NULL
1512642394814291969	2022-04-09	04:03:45	en	NULL
1512642408688746498	2022-04-09	04:03:48	ja	NULL
1512642413474779139	2022-04-09	04:03:49	zh	NULL
1512642415802388480	2022-04-09	04:03:50	en	NULL
1512642419455627265	2022-04-09	04:03:50	en	NULL
1512642420181446656	2022-04-09	04:03:51	en	NULL
1512642422903345155	2022-04-09	04:03:51	en	NULL
1512642447733624836	2022-04-09	04:03:57	es	NULL
1512642451512565762	2022-04-09	04:03:58	en	NULL
1512642460102578176	2022-04-09	04:04:00	en	NULL
1512642461708996610	2022-04-09	04:04:01	und	NULL
